cancelled;onBehalf;jointProcurement;fraAgreement;accelerated;outOfDirectives;contractorSme;subContracted;gpa;renewal;awardEstimatedPrice;awardPrice;numberTenders;lotsNumber;numberTendersSme;contractDuration;publicityDuration
0;0;0;0;1;0;1;0;1;1;86132,14;97675,39;3,97;5,9;4,5;16,77;31,48
0;1;1;1;0;0;1;1;0;1;674285,0;328804,0;5,4;4,15;1,0;14,35;32,75
0;1;0;0;0;0;1;0;1;1;248273,28;140316,82;5,75;11,3;3,3;19,68;37,22
0;0;0;1;0;0;0;0;0;1;156157,32;140171,41;11,53;26,3;1,65;23,19;42,43
0;0;0;0;0;0;0;0;0;1;128849,84;123000,86;7,25;14,56;5,37;23,98;44,22
0;0;0;1;1;0;1;1;1;1;0,0;270906,33;4,67;3,33;0,0;12,0;30,33
0;1;1;1;0;0;0;1;0;1;477290,0;347157,75;7,4;2,7;0,0;17,25;31,46
0;0;0;0;0;0;1;1;1;1;203990,7;197527,59;3,83;9,33;2,57;23,06;40,07
0;1;1;0;1;0;0;0;1;0;0,0;54352,5;2,35;3,15;0,0;38,67;33,67
0;0;0;0;0;0;0;0;1;1;158317,88;132821,68;5,58;11,07;1,57;23,05;43,29
0;1;0;0;0;0;1;1;0;0;0,0;192769,0;4,0;4,0;0,0;0,0;0,0
0;0;0;0;1;0;0;1;1;1;0,0;345783,8;2,2;1,8;0,0;12,0;32,8
0;0;0;1;1;0;1;1;1;0;170000,0;143344,0;2,0;2,0;1,0;90,0;31,0
0;1;0;0;0;0;0;0;0;1;81335,76;91581,44;4,87;14,34;9,0;20,04;44,63
0;1;1;0;0;0;1;0;0;0;158349,06;139925,68;4,05;15,86;5,09;30,17;42,63
0;1;0;0;0;0;0;0;1;0;119888,83;119024,66;5,16;21,01;1,75;32,91;47,68
0;0;0;1;0;0;0;1;0;1;210369,72;262054,6;4,66;5,3;3,06;23,31;40,12
0;0;0;1;0;0;0;1;1;1;230539,3;219177,31;4,26;6,93;1,85;21,43;41,16
0;1;1;0;0;0;0;0;0;0;161404,25;124475,38;4,68;11,21;1,31;40,53;40,9
0;0;0;1;0;0;1;1;1;0;232189,29;226627,71;5,13;8,78;2,15;36,32;40,72
0;0;0;1;1;0;0;0;1;1;125261,12;196127,18;4,72;8,08;1,17;17,06;30,2
0;1;1;0;0;0;1;1;1;0;237358,75;316629,22;2,96;6,67;1,0;34,01;43,55
0;1;1;0;0;0;1;1;1;1;353816,0;199540,53;5,61;7,38;3,0;17,89;38,19
0;0;0;0;0;0;1;1;0;1;153462,42;147744,23;4,62;8,17;3,27;20,84;39,54
0;1;1;1;0;0;0;0;1;1;130694,65;137218,37;5,28;16,57;1,61;19,84;38,98
0;1;1;0;0;0;1;0;1;1;178787,29;122169,77;3,79;13,69;3,82;18,27;40,75
0;1;1;0;1;0;1;0;1;1;495666,67;305178,76;6,82;3,35;0,0;16,76;35,35
0;0;0;1;0;0;1;0;0;1;145761,9;124748,59;11,85;25,68;6,19;20,85;39,96
0;1;0;0;0;0;1;0;1;0;479773,75;214482,47;3,5;7,83;3,47;36,16;37,43
0;1;1;1;1;0;0;0;1;1;148790,0;193389,2;3,6;1,6;0,0;11,8;30,4
0;1;1;1;0;0;0;1;0;0;0,0;270214,33;2,17;12,33;0,0;27,8;38,0
0;1;0;1;0;0;0;1;0;1;500000,0;350000,0;6,5;1,5;0,0;12,0;49,0
0;1;1;1;0;0;1;0;0;0;283301,25;300128,2;6,03;24,86;2,25;40,22;38,04
0;1;0;1;1;0;0;0;1;1;0,0;350000,0;2,5;13,5;0,0;12,0;36,0
0;0;0;1;0;0;1;1;0;0;197350,43;165957,36;3,8;7,85;2,82;38,06;39,57
0;1;0;0;0;0;0;1;0;1;167443,0;458374,4;3,2;1,2;0,0;19,8;56,4
0;0;0;0;0;0;1;0;1;1;167855,33;125738,3;6,32;10,21;3,14;21,98;39,56
0;1;1;1;0;0;1;1;1;1;212264,2;208492,67;4,35;5,66;4,32;18,07;38,47
0;0;0;0;1;0;0;1;0;0;0,0;479485,0;1,0;2,0;0,0;66,0;30,0
0;0;0;0;0;0;0;1;0;0;191184,11;159597,66;4,1;9,15;1,71;23,51;44,04
0;1;0;0;0;0;1;0;0;1;0,0;151525,73;2,13;4,4;0,0;33,4;47,6
0;0;0;0;1;0;0;0;0;1;257968,67;210393,21;4,71;3,14;4,33;16,0;32,36
0;1;0;0;0;0;0;1;0;0;144066,65;175548,06;3,25;4,13;0,0;32,15;44,2
0;0;0;1;1;0;1;0;1;1;130589,08;154184,38;5,12;8,73;3,3;16,81;34,38
0;0;0;1;0;0;1;0;1;1;165567,29;146569,34;4,69;10,48;3,31;20,9;39,52
0;1;0;0;0;0;0;1;1;1;154252,09;199492,04;5,31;9,53;5,0;28,52;46,19
0;0;0;1;1;0;1;0;0;0;0,0;47391,73;6,64;4,09;0,0;12,0;25,0
0;0;0;1;0;0;1;1;0;1;257652,07;266124,78;4,33;5,02;3,44;19,35;39,1
0;1;1;0;1;0;0;0;1;1;535000,0;71134,81;3,12;3,42;0,0;17,97;31,86
0;1;1;0;0;0;0;1;1;1;354973,1;219137,83;4,71;20,77;1,5;22,93;39,78
0;0;0;1;1;0;0;0;0;1;347466,67;164444,19;11,06;34,0;0,0;14,25;33,75
0;1;0;1;0;0;0;0;0;0;89056,51;176463,73;3,31;17,25;4,0;24,95;52,49
0;0;0;1;1;0;0;0;0;0;45000,0;244802,35;3,08;14,15;0,0;22,15;16,54
0;0;0;1;0;0;1;0;0;0;198810,86;104646,1;8,0;41,79;2,93;37,92;47,2
